index,dataset,expID,base_model,meta_model,preproc_model,results_dir_path,model_time,postproc_time,preproc_time
ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=157428458_hash=52a87db3_2023.09.08-19.11,ACSIncome,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=157428458_hash=52a87db3_2023.09.08-19.11.25,1588.786,4.019,998.926
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=775409733_hash=49ef6938_2023.09.10-23.13,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=775409733_hash=49ef6938_2023.09.10-23.13.02,1138.537,0.524,
ACSIncome_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=733881520_hash=45f4eb92_2023.09.11-16.59,ACSIncome,NN,NN,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=733881520_hash=45f4eb92_2023.09.11-16.59.54,4795.392,67.538,
ACSIncome_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=325528128_hash=486fd14d_2023.09.08-18.25,ACSIncome,"GBM, LFR",GBM,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=325528128_hash=486fd14d_2023.09.08-18.25.43,261.416,17.802,597.659
ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=255705944_hash=01065c67_2023.09.08-17.29,ACSIncome,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=255705944_hash=01065c67_2023.09.08-17.29.27,7480.93,38.714,
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223983_hash=4e217e38_2023.09.11-09.23,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223983_hash=4e217e38_2023.09.11-09.23.01,1879.253,53.293,2.783
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223972_hash=4e217e38_2023.09.11-09.04,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=446223972_hash=4e217e38_2023.09.11-09.04.38,386.9,11.738,2.626
ACSIncome_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=808072173_hash=78096807_2023.09.09-22.18,ACSIncome,"GBM, CR",GBM,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=808072173_hash=78096807_2023.09.09-22.18.12,47.167,3.901,2.711
ACSIncome_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=317533401_hash=171d6beb_2023.09.09-14.25,ACSIncome,LR,LR,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=None_one-hot=True_seed=317533401_hash=171d6beb_2023.09.09-14.25.32,2.474,0.394,
ACSIncome_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=412607427_hash=45f4eb92_2023.09.08-15.57,ACSIncome,NN,NN,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=None_preprocessor=None_one-hot=True_seed=412607427_hash=45f4eb92_2023.09.08-15.57.17,117.757,4.102,
ACSIncome_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=319434431_hash=f623f97d_2023.09.11-06.14,ACSIncome,FairGBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=319434431_hash=f623f97d_2023.09.11-06.14.10,283.485,49.261,
ACSIncome_base=logistic-regression_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=301356629_hash=17d232de_2023.09.12-11.10,ACSIncome,"LR, CR",LR,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=301356629_hash=17d232de_2023.09.12-11.10.39,1721.592,0.325,2.778
ACSIncome_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=792776724_hash=392cbdb2_2023.09.10-13.28,ACSIncome,"GBM, EG",GBM,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=792776724_hash=392cbdb2_2023.09.10-13.28.38,50003.629,458.575,
ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=385933259_hash=719b98c4_2023.09.12-11.49,ACSIncome,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=385933259_hash=719b98c4_2023.09.12-11.49.18,887.585,0.286,742.329
ACSIncome_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=319434434_hash=f623f97d_2023.09.11-06.21,ACSIncome,FairGBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=fairgbm_equal-odds-constraint_meta=None_preprocessor=None_one-hot=False_seed=319434434_hash=f623f97d_2023.09.11-06.21.16,177.651,26.371,
ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=385933256_hash=719b98c4_2023.09.12-11.43,ACSIncome,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=385933256_hash=719b98c4_2023.09.12-11.43.58,789.599,0.282,965.464
ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=607772660_hash=01065c67_2023.09.12-05.48,ACSIncome,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=607772660_hash=01065c67_2023.09.12-05.48.56,18430.635,9.259,
ACSIncome_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=731050724_hash=fb439521_2023.09.10-01.51,ACSIncome,"NN, CR",NN,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=731050724_hash=fb439521_2023.09.10-01.51.42,594.049,7.31,2.805
ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=774957150_hash=719b98c4_2023.09.11-12.12,ACSIncome,"LR, LFR",LR,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=774957150_hash=719b98c4_2023.09.11-12.12.35,834.487,0.244,676.886
ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=990422424_hash=e63bcfb0_2023.09.10-16.02,ACSIncome,"RF, EG",RF,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=990422424_hash=e63bcfb0_2023.09.10-16.02.54,54600.883,621.09,
ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=125084131_hash=a34ed80b_2023.09.10-14.02,ACSIncome,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=125084131_hash=a34ed80b_2023.09.10-14.02.42,244.91,1.161,
ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=464338396_hash=9a992195_2023.09.12-00.10,ACSIncome,"RF, GS",RF,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=464338396_hash=9a992195_2023.09.12-00.10.23,2297.363,6.491,
ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=19394471_hash=4e217e38_2023.09.08-18.29,ACSIncome,"RF, CR",RF,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=19394471_hash=4e217e38_2023.09.08-18.29.36,774.447,23.86,2.598
ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=886285007_hash=99966eb0_2023.09.11-02.16,ACSIncome,"LR, GS",LR,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=886285007_hash=99966eb0_2023.09.11-02.16.06,710.658,0.475,
ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=583321952_hash=99966eb0_2023.09.09-17.36,ACSIncome,"LR, GS",LR,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=583321952_hash=99966eb0_2023.09.09-17.36.45,234.334,0.416,
ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=535607003_hash=9a992195_2023.09.10-17.39,ACSIncome,"RF, GS",RF,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=535607003_hash=9a992195_2023.09.10-17.39.45,6959.197,17.49,
ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=451820760_hash=a34ed80b_2023.09.11-20.25,ACSIncome,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=451820760_hash=a34ed80b_2023.09.11-20.25.13,1958.144,25.472,
ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=816550473_hash=e63bcfb0_2023.09.11-22.06,ACSIncome,"RF, EG",RF,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=816550473_hash=e63bcfb0_2023.09.11-22.06.08,1766.44,13.817,
ACSIncome_base=logistic-regression_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=964495381_hash=17d232de_2023.09.08-20.14,ACSIncome,"LR, CR",LR,None,CR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=None_preprocessor=fairlearn-correlation-remover_one-hot=True_seed=964495381_hash=17d232de_2023.09.08-20.14.26,51.535,0.303,2.257
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=772281745_hash=1eaaca2f_2023.09.10-13.05,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=772281745_hash=1eaaca2f_2023.09.10-13.05.32,373.232,87.687,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780791_hash=1eaaca2f_2023.09.11-14.46,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780791_hash=1eaaca2f_2023.09.11-14.46.37,8.35,2.339,
ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=990422413_hash=e63bcfb0_2023.09.10-15.04,ACSIncome,"RF, EG",RF,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=False_seed=990422413_hash=e63bcfb0_2023.09.10-15.04.14,1305.938,2.576,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=772281750_hash=1eaaca2f_2023.09.10-13.05,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=772281750_hash=1eaaca2f_2023.09.10-13.05.37,7.608,0.829,
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=349965711_hash=49ef6938_2023.09.08-16.56,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=349965711_hash=49ef6938_2023.09.08-16.56.58,2654.134,0.433,
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=349965712_hash=49ef6938_2023.09.08-17.01,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=349965712_hash=49ef6938_2023.09.08-17.01.10,808.749,1.813,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780805_hash=1eaaca2f_2023.09.11-15.54,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780805_hash=1eaaca2f_2023.09.11-15.54.11,57.707,3.319,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780802_hash=1eaaca2f_2023.09.11-15.34,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=262780802_hash=1eaaca2f_2023.09.11-15.34.37,11832.911,186.338,
ACSIncome_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=195482719_hash=486fd14d_2023.09.11-08.38,ACSIncome,"GBM, LFR",GBM,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=195482719_hash=486fd14d_2023.09.11-08.38.55,126.035,3.465,1014.117
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=162557227_hash=49ef6938_2023.09.12-02.17,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=162557227_hash=49ef6938_2023.09.12-02.17.11,1038.009,0.524,
ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=775409744_hash=49ef6938_2023.09.11-00.13,ACSIncome,"LR, EG",LR,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=775409744_hash=49ef6938_2023.09.11-00.13.17,22121.196,0.473,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=514927898_hash=1eaaca2f_2023.09.09-14.25,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=514927898_hash=1eaaca2f_2023.09.09-14.25.32,5.711,1.082,
ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=737286546_hash=52a87db3_2023.09.10-00.40,ACSIncome,"RF, LFR",RF,None,LFR,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=None_preprocessor=aif360-LFR_one-hot=True_seed=737286546_hash=52a87db3_2023.09.10-00.40.43,1125.389,3.115,381.441
ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=607772650_hash=01065c67_2023.09.12-03.12,ACSIncome,"NN, EG",NN,EG,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=skorch-NN_meta=fairlearn-EG_equal-odds-constraint_preprocessor=None_one-hot=True_seed=607772650_hash=01065c67_2023.09.12-03.12.50,11798.21,18.305,
ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=514927890_hash=1eaaca2f_2023.09.09-14.25,ACSIncome,GBM,GBM,None,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=None_preprocessor=None_one-hot=False_seed=514927890_hash=1eaaca2f_2023.09.09-14.25.29,2770.234,36.613,
ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=583321953_hash=99966eb0_2023.09.09-17.40,ACSIncome,"LR, GS",LR,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=logistic-regression_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=True_seed=583321953_hash=99966eb0_2023.09.09-17.40.47,547.1,0.404,
ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=125084140_hash=a34ed80b_2023.09.10-14.24,ACSIncome,"GBM, GS",GBM,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=lightgbm_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=125084140_hash=a34ed80b_2023.09.10-14.24.02,203.369,1.12,
ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=535607015_hash=9a992195_2023.09.10-19.43,ACSIncome,"RF, GS",RF,GS,None,/lustre/fast/fast/acruz/ACS_T5.6-results_train=0.6_test=0.2_validation=0.2_max-groups=2_2023-09-06/ACSIncome_base=random-forest_meta=fairlearn-GS_equal-odds-constraint_preprocessor=None_one-hot=False_seed=535607015_hash=9a992195_2023.09.10-19.43.45,42730.542,59.105,
